A (base 10) | A (binary)                   | Output
1           | 1                            | 6,
8           | 1000                         | 6,6,
64          | 1000000                      | 7,6,6,
512         | 1000000000                   | 7,7,6,6,
4096        | 1000000000000                | 7,7,7,6,6,
32768       | 1000000000000000             | 7,7,7,7,6,6,
262144      | 1000000000000000000          | 7,7,7,7,7,6,6,
2097152     | 1000000000000000000000       | 7,7,7,7,7,7,6,6,
16777216    | 1000000000000000000000000    | 7,7,7,7,7,7,7,6,6,
134217728   | 1000000000000000000000000000 | 7,7,7,7,7,7,7,7,6,6,
