A (base 10)   | A (base 8)       | A (binary)                                     | Output
35184372088832| 1000000000000000 | 1000000000000000000000000000000000000000000000 | 7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088833| 1000000000000001 | 1000000000000000000000000000000000000000000001 | 6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088834| 1000000000000002 | 1000000000000000000000000000000000000000000010 | 4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088835| 1000000000000003 | 1000000000000000000000000000000000000000000011 | 7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088836| 1000000000000004 | 1000000000000000000000000000000000000000000100 | 3,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088837| 1000000000000005 | 1000000000000000000000000000000000000000000101 | 2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088838| 1000000000000006 | 1000000000000000000000000000000000000000000110 | 1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088839| 1000000000000007 | 1000000000000000000000000000000000000000000111 | 0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088840| 1000000000000010 | 1000000000000000000000000000000000000000001000 | 6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088841| 1000000000000011 | 1000000000000000000000000000000000000000001001 | 4,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088842| 1000000000000012 | 1000000000000000000000000000000000000000001010 | 0,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088843| 1000000000000013 | 1000000000000000000000000000000000000000001011 | 7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088844| 1000000000000014 | 1000000000000000000000000000000000000000001100 | 3,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088845| 1000000000000015 | 1000000000000000000000000000000000000000001101 | 2,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088846| 1000000000000016 | 1000000000000000000000000000000000000000001110 | 1,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088847| 1000000000000017 | 1000000000000000000000000000000000000000001111 | 0,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088848| 1000000000000020 | 1000000000000000000000000000000000000000010000 | 5,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088849| 1000000000000021 | 1000000000000000000000000000000000000000010001 | 2,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088850| 1000000000000022 | 1000000000000000000000000000000000000000010010 | 4,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088851| 1000000000000023 | 1000000000000000000000000000000000000000010011 | 7,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088852| 1000000000000024 | 1000000000000000000000000000000000000000010100 | 3,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088853| 1000000000000025 | 1000000000000000000000000000000000000000010101 | 2,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088854| 1000000000000026 | 1000000000000000000000000000000000000000010110 | 1,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088855| 1000000000000027 | 1000000000000000000000000000000000000000010111 | 1,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088856| 1000000000000030 | 1000000000000000000000000000000000000000011000 | 4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088857| 1000000000000031 | 1000000000000000000000000000000000000000011001 | 0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088858| 1000000000000032 | 1000000000000000000000000000000000000000011010 | 0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088859| 1000000000000033 | 1000000000000000000000000000000000000000011011 | 7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088860| 1000000000000034 | 1000000000000000000000000000000000000000011100 | 3,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088861| 1000000000000035 | 1000000000000000000000000000000000000000011101 | 2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088862| 1000000000000036 | 1000000000000000000000000000000000000000011110 | 1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088863| 1000000000000037 | 1000000000000000000000000000000000000000011111 | 1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088864| 1000000000000040 | 1000000000000000000000000000000000000000100000 | 3,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088865| 1000000000000041 | 1000000000000000000000000000000000000000100001 | 6,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088866| 1000000000000042 | 1000000000000000000000000000000000000000100010 | 4,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088867| 1000000000000043 | 1000000000000000000000000000000000000000100011 | 7,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088868| 1000000000000044 | 1000000000000000000000000000000000000000100100 | 3,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088869| 1000000000000045 | 1000000000000000000000000000000000000000100101 | 2,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088870| 1000000000000046 | 1000000000000000000000000000000000000000100110 | 0,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088871| 1000000000000047 | 1000000000000000000000000000000000000000100111 | 2,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088872| 1000000000000050 | 1000000000000000000000000000000000000000101000 | 2,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088873| 1000000000000051 | 1000000000000000000000000000000000000000101001 | 4,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088874| 1000000000000052 | 1000000000000000000000000000000000000000101010 | 0,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088875| 1000000000000053 | 1000000000000000000000000000000000000000101011 | 7,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088876| 1000000000000054 | 1000000000000000000000000000000000000000101100 | 3,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088877| 1000000000000055 | 1000000000000000000000000000000000000000101101 | 2,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088878| 1000000000000056 | 1000000000000000000000000000000000000000101110 | 0,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088879| 1000000000000057 | 1000000000000000000000000000000000000000101111 | 2,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088880| 1000000000000060 | 1000000000000000000000000000000000000000110000 | 1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088881| 1000000000000061 | 1000000000000000000000000000000000000000110001 | 2,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088882| 1000000000000062 | 1000000000000000000000000000000000000000110010 | 4,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088883| 1000000000000063 | 1000000000000000000000000000000000000000110011 | 7,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088884| 1000000000000064 | 1000000000000000000000000000000000000000110100 | 3,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088885| 1000000000000065 | 1000000000000000000000000000000000000000110101 | 2,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088886| 1000000000000066 | 1000000000000000000000000000000000000000110110 | 0,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088887| 1000000000000067 | 1000000000000000000000000000000000000000110111 | 3,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088888| 1000000000000070 | 1000000000000000000000000000000000000000111000 | 0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372088889| 1000000000000071 | 1000000000000000000000000000000000000000111001 | 0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
