A (base 10) | A (base 8) | A (binary) | Output
0           | 0          | 0          | 7,
1           | 1          | 1          | 6,
2           | 2          | 10         | 4,
3           | 3          | 11         | 7,
4           | 4          | 100        | 3,
5           | 5          | 101        | 2,
6           | 6          | 110        | 1,
7           | 7          | 111        | 0,
8           | 10         | 1000       | 6,6,
9           | 11         | 1001       | 4,6,
10          | 12         | 1010       | 0,6,
11          | 13         | 1011       | 7,6,
12          | 14         | 1100       | 3,6,
13          | 15         | 1101       | 2,6,
14          | 16         | 1110       | 1,6,
15          | 17         | 1111       | 0,6,
16          | 20         | 10000      | 5,4,
17          | 21         | 10001      | 2,4,
18          | 22         | 10010      | 4,4,
19          | 23         | 10011      | 7,4,
20          | 24         | 10100      | 3,4,
21          | 25         | 10101      | 2,4,
22          | 26         | 10110      | 1,4,
23          | 27         | 10111      | 1,4,
24          | 30         | 11000      | 4,7,
25          | 31         | 11001      | 0,7,
26          | 32         | 11010      | 0,7,
27          | 33         | 11011      | 7,7,
28          | 34         | 11100      | 3,7,
29          | 35         | 11101      | 2,7,
30          | 36         | 11110      | 1,7,
31          | 37         | 11111      | 1,7,
32          | 40         | 100000     | 3,3,
33          | 41         | 100001     | 6,3,
34          | 42         | 100010     | 4,3,
35          | 43         | 100011     | 7,3,
36          | 44         | 100100     | 3,3,
37          | 45         | 100101     | 2,3,
38          | 46         | 100110     | 0,3,
39          | 47         | 100111     | 2,3,
40          | 50         | 101000     | 2,2,
41          | 51         | 101001     | 4,2,
42          | 52         | 101010     | 0,2,
43          | 53         | 101011     | 7,2,
44          | 54         | 101100     | 3,2,
45          | 55         | 101101     | 2,2,
46          | 56         | 101110     | 0,2,
47          | 57         | 101111     | 2,2,
48          | 60         | 110000     | 1,1,
49          | 61         | 110001     | 2,1,
50          | 62         | 110010     | 4,1,
51          | 63         | 110011     | 7,1,
52          | 64         | 110100     | 3,1,
53          | 65         | 110101     | 2,1,
54          | 66         | 110110     | 0,1,
55          | 67         | 110111     | 3,1,
56          | 70         | 111000     | 0,0,
57          | 71         | 111001     | 0,0,
58          | 72         | 111010     | 0,0,
59          | 73         | 111011     | 7,0,
60          | 74         | 111100     | 3,0,
61          | 75         | 111101     | 2,0,
62          | 76         | 111110     | 0,0,
63          | 77         | 111111     | 3,0,
64          | 100        | 1000000    | 7,6,6,
65          | 101        | 1000001    | 6,6,6,
66          | 102        | 1000010    | 4,6,6,
67          | 103        | 1000011    | 7,6,6,
68          | 104        | 1000100    | 3,6,6,
69          | 105        | 1000101    | 3,6,6,
70          | 106        | 1000110    | 3,6,6,
71          | 107        | 1000111    | 4,6,6,
72          | 110        | 1001000    | 6,4,6,
73          | 111        | 1001001    | 4,4,6,
74          | 112        | 1001010    | 0,4,6,
75          | 113        | 1001011    | 7,4,6,
76          | 114        | 1001100    | 3,4,6,
77          | 115        | 1001101    | 3,4,6,
78          | 116        | 1001110    | 3,4,6,
79          | 117        | 1001111    | 4,4,6,
80          | 120        | 1010000    | 5,0,6,
81          | 121        | 1010001    | 2,0,6,
82          | 122        | 1010010    | 4,0,6,
83          | 123        | 1010011    | 7,0,6,
84          | 124        | 1010100    | 3,0,6,
85          | 125        | 1010101    | 3,0,6,
86          | 126        | 1010110    | 3,0,6,
87          | 127        | 1010111    | 5,0,6,
88          | 130        | 1011000    | 4,7,6,
89          | 131        | 1011001    | 0,7,6,
90          | 132        | 1011010    | 0,7,6,
91          | 133        | 1011011    | 7,7,6,
92          | 134        | 1011100    | 3,7,6,
93          | 135        | 1011101    | 3,7,6,
94          | 136        | 1011110    | 3,7,6,
95          | 137        | 1011111    | 5,7,6,
96          | 140        | 1100000    | 3,3,6,
97          | 141        | 1100001    | 6,3,6,
98          | 142        | 1100010    | 4,3,6,
99          | 143        | 1100011    | 7,3,6,
100         | 144        | 1100100    | 3,3,6,
101         | 145        | 1100101    | 3,3,6,
102         | 146        | 1100110    | 2,3,6,
103         | 147        | 1100111    | 6,3,6,
104         | 150        | 1101000    | 2,2,6,
105         | 151        | 1101001    | 4,2,6,
106         | 152        | 1101010    | 0,2,6,
107         | 153        | 1101011    | 7,2,6,
108         | 154        | 1101100    | 3,2,6,
109         | 155        | 1101101    | 3,2,6,
110         | 156        | 1101110    | 2,2,6,
111         | 157        | 1101111    | 6,2,6,
112         | 160        | 1110000    | 1,1,6,
113         | 161        | 1110001    | 2,1,6,
114         | 162        | 1110010    | 4,1,6,
115         | 163        | 1110011    | 7,1,6,
116         | 164        | 1110100    | 3,1,6,
117         | 165        | 1110101    | 3,1,6,
118         | 166        | 1110110    | 2,1,6,
119         | 167        | 1110111    | 7,1,6,
120         | 170        | 1111000    | 0,0,6,
121         | 171        | 1111001    | 0,0,6,
122         | 172        | 1111010    | 0,0,6,
123         | 173        | 1111011    | 7,0,6,
124         | 174        | 1111100    | 3,0,6,
125         | 175        | 1111101    | 3,0,6,
126         | 176        | 1111110    | 2,0,6,
127         | 177        | 1111111    | 7,0,6,
128         | 200        | 10000000   | 7,5,4,
129         | 201        | 10000001   | 6,5,4,
130         | 202        | 10000010   | 4,5,4,
131         | 203        | 10000011   | 7,5,4,
132         | 204        | 10000100   | 2,5,4,
133         | 205        | 10000101   | 0,5,4,
134         | 206        | 10000110   | 5,5,4,
135         | 207        | 10000111   | 0,5,4,
136         | 210        | 10001000   | 6,2,4,
137         | 211        | 10001001   | 4,2,4,
138         | 212        | 10001010   | 0,2,4,
139         | 213        | 10001011   | 7,2,4,
140         | 214        | 10001100   | 2,2,4,
141         | 215        | 10001101   | 0,2,4,
142         | 216        | 10001110   | 5,2,4,
143         | 217        | 10001111   | 0,2,4,
144         | 220        | 10010000   | 5,4,4,
145         | 221        | 10010001   | 2,4,4,
146         | 222        | 10010010   | 4,4,4,
147         | 223        | 10010011   | 7,4,4,
148         | 224        | 10010100   | 2,4,4,
149         | 225        | 10010101   | 0,4,4,
150         | 226        | 10010110   | 5,4,4,
151         | 227        | 10010111   | 1,4,4,
152         | 230        | 10011000   | 4,7,4,
153         | 231        | 10011001   | 0,7,4,
154         | 232        | 10011010   | 0,7,4,
155         | 233        | 10011011   | 7,7,4,
156         | 234        | 10011100   | 2,7,4,
157         | 235        | 10011101   | 0,7,4,
158         | 236        | 10011110   | 5,7,4,
159         | 237        | 10011111   | 1,7,4,
160         | 240        | 10100000   | 3,3,4,
161         | 241        | 10100001   | 6,3,4,
162         | 242        | 10100010   | 4,3,4,
163         | 243        | 10100011   | 7,3,4,
164         | 244        | 10100100   | 2,3,4,
165         | 245        | 10100101   | 0,3,4,
166         | 246        | 10100110   | 4,3,4,
167         | 247        | 10100111   | 2,3,4,
168         | 250        | 10101000   | 2,2,4,
169         | 251        | 10101001   | 4,2,4,
170         | 252        | 10101010   | 0,2,4,
171         | 253        | 10101011   | 7,2,4,
172         | 254        | 10101100   | 2,2,4,
173         | 255        | 10101101   | 0,2,4,
174         | 256        | 10101110   | 4,2,4,
175         | 257        | 10101111   | 2,2,4,
176         | 260        | 10110000   | 1,1,4,
177         | 261        | 10110001   | 2,1,4,
178         | 262        | 10110010   | 4,1,4,
